,Bedroom,Bathroom,Super_area,Carpet_area,Furnished_status,Water_availability,Locality,Age_of_construction,Facing,Tenant,Owner,Floor,Security_deposit,Availability_status,Overlooking,Monthly_charges,Brokerage,Rent,covered_parking,open_parking
453,1.0,2,625.0,425.0,Semi-Furnished,12 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,2.0,100000,Immediately Not Available,Main Road,0,25000,25000,0,0
454,1.0,1,625.0,745.5711920529801,Semi-Furnished,24 Hours Available,Bhandup,10 to 15 years,Not Mentioned,Family,Owner,5.0,100000,Immediately Available,Garden/Park,0,0,25000,0,1
455,2.0,2,867.0,735.0,Unfurnished,12 Hours Available,Bhandup,10 to 15 years,North,Family / Bachelors ,Owner,2.0,125000,Immediately Not Available,Garden/Park,0,0,30000,1,1
456,1.0,2,550.0,375.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family,Owner,7.0,100000,Immediately Available,Garden/Park,1200,0,23000,0,0
457,3.0,3,1580.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,18.0,0,Immediately Not Available,Not Mentioned,0,0,50000,0,0
458,1.0,1,500.0,400.0,Unfurnished,12 Hours Available,Bhandup,Above 20 years,East,Bachelors,Owner,0.0,100000,Immediately Not Available,Main Road,0,0,22000,0,0
459,2.0,1,1050.0,780.0,Semi-Furnished,12 Hours Available,Bhandup,Above 20 years,Not Mentioned,Bachelors,Owner,4.0,180000,Immediately Not Available,Main Road,0,0,35000,0,0
460,1.0,2,735.0,562.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Owner,3.0,100000,Immediately Available,Garden/Park,0,0,30000,0,0
461,1.0,1,550.0,313.0,Furnished,24 Hours Available,Bhandup,10 to 15 years,Not Mentioned,Family / Bachelors ,Owner,1.0,125000,Immediately Available,Not Mentioned,3000,0,25000,0,0
462,1.0,2,650.0,400.0,Unfurnished,24 Hours Available,Bhandup,New Construction,North,Bachelors,Agent,6.0,100000,Immediately Available,Garden/Park,1,24000,24000,0,1
463,1.0,1,620.0,565.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Bachelors,Owner,7.0,50000,Immediately Available,Main Road,0,0,21000,0,0
464,1.0,2,650.0,455.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Owner,7.0,100000,Immediately Available,Garden/Park,2900,0,25000,0,0
465,1.0,2,600.0,413.0,Unfurnished,12 Hours Available,Bhandup,5 to 10 years,North,Bachelors,Owner,21.0,100000,Immediately Not Available,Garden/Park,0,0,28000,0,0
466,2.0,2,970.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,6.0,0,Immediately Not Available,Not Mentioned,0,0,34000,0,0
467,1.0,2,625.0,450.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,15.0,100000,Immediately Not Available,Main Road,0,30000,30000,0,0
468,3.0,3,1540.0,1100.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Family,Agent,17.0,250000,Immediately Available,Not Mentioned,0,0,45000,1,0
469,3.0,3,1624.0,1176.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,Not Mentioned,Family / Bachelors ,Owner,12.0,390000,Immediately Not Available,Not Mentioned,0,0,65000,0,0
470,2.0,2,1200.0,745.0,Semi-Furnished,12 Hours Available,Bhandup,New Construction,North,Bachelors,Agent,30.0,200000,Immediately Not Available,Garden/Park,0,45000,45000,0,0
471,3.0,3,1600.0,1050.0,Semi-Furnished,24 Hours Available,Bhandup,New Construction,North - West,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,48000,48000,1,0
472,2.0,2,975.0,690.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,Not Mentioned,Family / Bachelors ,Owner,3.0,200000,Immediately Not Available,Not Mentioned,0,0,35000,0,0
473,1.0,2,500.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,10 to 15 years,East,Family / Bachelors ,Owner,0.0,0,Immediately Not Available,Not Mentioned,0,0,15000,0,1
474,2.0,2,1667.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,27.0,0,Immediately Not Available,Not Mentioned,0,0,44000,0,0
475,2.0,2,800.0,550.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family,Agent,3.0,100000,Immediately Not Available,Garden/Park,0,33000,33000,0,0
476,3.0,3,1690.0,1000.0,Unfurnished,24 Hours Available,Bhandup,New Construction,East,Family / Bachelors ,Agent,5.0,300000,Immediately Available,Main Road,0,50000,50000,1,0
477,2.0,2,710.0,568.0,Semi-Furnished,24 Hours Available,Bhandup,15 to 20 years,North,Family / Bachelors ,Owner,5.0,0,Immediately Available,Not Mentioned,0,0,29000,0,1
478,1.0,2,650.0,580.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,Not Mentioned,Family / Bachelors ,Owner,7.0,0,Immediately Not Available,Not Mentioned,0,0,27000,0,0
479,2.0,2,910.0,655.0,Unfurnished,12 Hours Available,Bhandup,Less than 5 years,North,Family / Bachelors ,Agent,9.0,100000,Immediately Not Available,Garden/Park,0,34000,34000,0,0
480,2.0,2,1150.0,670.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,North,Family / Bachelors ,Agent,11.0,150000,Immediately Available,Garden/Park,6500,37000,37000,1,0
481,2.0,2,1000.0,677.0,Unfurnished,24 Hours Available,Bhandup,New Construction,East,Family / Bachelors ,Agent,30.0,150000,Immediately Available,Garden/Park,0,36000,36000,1,0
482,4.0,3,1800.0,1300.0,Furnished,24 Hours Available,Bhandup,Less than 5 years,West,Family,Agent,17.0,450000,Immediately Available,Garden/Park,0,75000,75000,1,0
483,1.0,2,610.0,430.0,Unfurnished,12 Hours Available,Bhandup,5 to 10 years,North - East,Bachelors,Agent,4.0,100000,Immediately Available,Garden/Park,0,23000,23000,0,0
484,2.0,2,1000.0,655.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,North - East,Bachelors,Agent,7.0,150000,Immediately Available,Not Mentioned,0,34500,34500,1,0
485,2.0,2,1005.0,730.0,Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,14.0,150000,Immediately Available,Garden/Park,0,40000,40000,0,1
486,2.0,2,1240.0,980.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,12.0,200000,Immediately Available,Garden/Park,0,40000,40000,1,0
487,3.0,3,1550.0,900.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,North,Family / Bachelors ,Agent,11.0,200000,Immediately Available,Garden/Park,0,50000,50000,0,0
488,2.0,2,1000.0,600.0,Unfurnished,24 Hours Available,Bhandup,New Construction,East,Bachelors,Agent,14.0,150000,Immediately Available,Garden/Park,0,35000,35000,1,0
489,2.0,2,1050.0,751.0,Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Family / Bachelors ,Agent,15.0,200000,Immediately Available,Garden/Park,0,41000,41000,1,0
490,2.0,2,900.0,650.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Family,Agent,5.0,100000,Immediately Available,Garden/Park,6000,35000,35000,1,0
491,2.0,2,740.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,1.0,0,Immediately Not Available,Not Mentioned,0,0,27000,0,0
492,1.0,2,700.0,450.0,Semi-Furnished,24 Hours Available,Bhandup,10 to 15 years,East,Family / Bachelors ,Agent,13.0,100000,Immediately Available,Pool,1000,27000,27000,1,0
493,3.0,3,1400.0,1000.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Family / Bachelors ,Agent,4.0,200000,Immediately Available,Not Mentioned,0,0,46000,1,0
494,3.0,3,1600.0,1080.0,Semi-Furnished,24 Hours Available,Bhandup,New Construction,North - East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,11000,0,48500,2,0
495,2.0,2,890.0,601.0,Unfurnished,24 Hours Available,Bhandup,New Construction,East,Bachelors,Agent,9.0,150000,Immediately Available,Main Road,1,33000,33000,1,0
496,3.0,3,1800.0,1170.0,Semi-Furnished,24 Hours Available,Ghatkopar,New Construction,West,Family,Agent,15.0,250000,Immediately Available,Garden/Park,0,80000,80000,1,0
497,2.0,2,1155.0,700.0,Semi-Furnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Family,Agent,5.0,500000,Immediately Available,Main Road,0,0,45000,1,0
498,2.0,2,1000.0,650.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - East,Family,Agent,10.0,200000,Immediately Available,Garden/Park,0,45000,45000,1,0
499,2.0,2,883.0,631.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,South - East,Family,Agent,18.0,200000,Immediately Available,Not Mentioned,0,0,46000,1,0
500,2.0,2,1050.0,649.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Family / Bachelors ,Agent,14.0,200000,Immediately Available,Garden/Park,0,48000,48000,1,0
501,4.0,4,3150.0,2100.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Bachelors,Agent,7.0,500000,Immediately Available,Not Mentioned,0,130000,130000,2,0
502,2.0,2,1000.0,750.0,Unfurnished,24 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Agent,10.0,200000,Immediately Available,Not Mentioned,0,60000,60000,1,0
503,3.0,3,1569.0,1046.0,Unfurnished,24 Hours Available,Ghatkopar,Less than 5 years,North - East,Family,Agent,8.0,300000,Immediately Available,Garden/Park,14000,70000,70000,1,0
504,3.0,2,1360.0,805.0,Semi-Furnished,12 Hours Available,Ghatkopar,Less than 5 years,North - East,Family,Agent,4.0,300000,Immediately Available,Garden/Park,0,55000,55000,1,0
505,3.0,3,1050.0,979.0,Unfurnished,12 Hours Available,Ghatkopar,New Construction,East,Bachelors,Agent,12.0,350000,Immediately Not Available,Garden/Park,0,75000,75000,0,0
506,2.0,3,1325.0,750.0,Semi-Furnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Family / Bachelors ,Agent,14.0,200000,Immediately Available,Garden/Park,0,54500,54500,1,0
507,2.0,2,883.0,631.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - East,Family / Bachelors ,Agent,9.0,250000,Immediately Available,Garden/Park,0,0,48000,1,0
508,2.0,2,1073.0,631.0,Unfurnished,24 Hours Available,Ghatkopar,New Construction,North - East,Bachelors,Agent,7.0,200000,Immediately Available,Garden/Park,0,0,45000,0,0
509,3.0,2,1569.0,1046.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Family / Bachelors ,Agent,10.0,250000,Immediately Available,Garden/Park,0,70500,70500,1,0
510,3.0,3,1250.0,890.0,Unfurnished,24 Hours Available,Ghatkopar,New Construction,Not Mentioned,Family,Owner,3.0,360000,Immediately Available,Garden/Park,0,0,60000,1,1
511,3.0,2,1560.0,960.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - West,Bachelors,Agent,7.0,250000,Immediately Available,Not Mentioned,0,76000,76000,1,0
512,3.0,3,1460.0,910.0,Semi-Furnished,24 Hours Available,Ghatkopar,5 to 10 years,North,Family / Bachelors ,Agent,11.0,250000,Immediately Available,Garden/Park,0,60000,60000,1,0
513,2.0,2,877.0,629.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Family / Bachelors ,Agent,9.0,200000,Immediately Available,Garden/Park,0,45000,45000,1,0
514,2.0,2,910.0,630.0,Furnished,24 Hours Available,Ghatkopar,5 to 10 years,North - East,Family / Bachelors ,Agent,13.0,200000,Immediately Available,Garden/Park,0,57000,57000,1,0
515,3.0,2,1560.0,745.5711920529801,Furnished,12 Hours Available,Ghatkopar,15 to 20 years,West,Family / Bachelors ,Owner,4.0,0,Immediately Not Available,Main Road,0,0,58000,0,0
516,3.0,2,1700.0,1046.0,Semi-Furnished,24 Hours Available,Ghatkopar,5 to 10 years,North - East,Family,Agent,16.0,250000,Immediately Available,Garden/Park,0,0,69000,1,0
517,2.0,2,1190.0,850.0,Furnished,24 Hours Available,Ghatkopar,Above 20 years,North - East,Family / Bachelors ,Owner,3.0,0,Immediately Available,Main Road,0,0,62000,0,2
518,2.0,2,1224.0,750.0,Semi-Furnished,12 Hours Available,Ghatkopar,Less than 5 years,East,Family,Agent,15.0,200000,Immediately Available,Garden/Park,1000,58000,58000,1,0
519,2.0,2,985.0,635.0,Unfurnished,24 Hours Available,Ghatkopar,New Construction,East,Family,Agent,9.0,200000,Immediately Available,Garden/Park,0,45000,45000,1,0
520,2.0,2,999.0,699.0,Semi-Furnished,24 Hours Available,Ghatkopar,New Construction,East,Family,Agent,10.0,200000,Immediately Available,Garden/Park,0,48000,48000,1,0
521,4.0,4,3250.0,745.5711920529801,Furnished,24 Hours Available,Ghatkopar,New Construction,East,Family / Bachelors ,Owner,20.0,780000,Immediately Available,Garden/Park,0,0,125000,2,0
522,2.0,2,910.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,10 to 15 years,Not Mentioned,Family / Bachelors ,Agent,4.0,0,Immediately Available,Garden/Park,0,0,42000,1,0
523,2.0,2,650.0,650.0,Furnished,12 Hours Available,Ghatkopar,Above 20 years,Not Mentioned,Bachelors,Agent,4.0,180000,Immediately Not Available,Not Mentioned,0,31000,31000,0,0
524,3.0,3,1000.0,745.5711920529801,Furnished,24 Hours Available,Ghatkopar,10 to 15 years,Not Mentioned,Family,Owner,3.0,250000,Immediately Available,Garden/Park,0,0,45000,0,1
525,3.0,3,1100.0,1100.0,Semi-Furnished,12 Hours Available,Ghatkopar,Less than 5 years,East,Bachelors,Owner,7.0,0,Immediately Not Available,Main Road,0,0,65000,0,0
526,2.0,2,950.0,745.5711920529801,Unfurnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Family / Bachelors ,Agent,4.0,200000,Immediately Available,Garden/Park,0,42000,42000,0,1
527,1.0,2,600.0,745.5711920529801,Semi-Furnished,12 Hours Available,Ghatkopar,Above 20 years,East,Bachelors,Owner,6.0,100000,Immediately Not Available,Garden/Park,0,0,32000,0,3
528,1.0,1,350.0,280.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,4.0,40000,Immediately Available,Not Mentioned,0,0,12000,0,0
529,2.0,2,1050.0,550.0,Unfurnished,12 Hours Available,Ghatkopar,15 to 20 years,East,Bachelors,Agent,3.0,100000,Immediately Not Available,Not Mentioned,0,29000,29000,0,0
530,1.0,1,600.0,500.0,Unfurnished,12 Hours Available,Ghatkopar,Above 20 years,Not Mentioned,Bachelors,Owner,4.0,150000,Immediately Not Available,Main Road,0,0,28000,0,0
531,2.0,2,1050.0,700.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - East,Family,Agent,14.0,200000,Immediately Available,Main Road,0,0,45000,1,0
532,3.0,3,1950.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,South,Family / Bachelors ,Owner,11.0,0,Immediately Available,Garden/Park,0,0,100000,2,0
533,2.0,2,1000.0,745.5711920529801,Unfurnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Family,Owner,2.0,0,Immediately Available,Main Road,500,0,45000,1,0
534,3.0,2,1565.0,1045.0,Unfurnished,24 Hours Available,Ghatkopar,Less than 5 years,North - West,Family / Bachelors ,Agent,28.0,250000,Immediately Available,Garden/Park,0,73000,73000,1,0
535,3.0,2,1360.0,825.0,Unfurnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Family / Bachelors ,Agent,15.0,200000,Immediately Available,Garden/Park,0,55000,55000,1,0
536,1.0,2,640.0,500.0,Furnished,24 Hours Available,Ghatkopar,Less than 5 years,West,Family,Owner,14.0,100000,Immediately Not Available,Garden/Park,0,0,29750,1,0
537,2.0,2,900.0,700.0,Unfurnished,24 Hours Available,Ghatkopar,Above 20 years,South -West,Family / Bachelors ,Owner,1.0,240000,Immediately Available,Garden/Park,0,0,35999,0,1
538,2.0,2,1000.0,700.0,Semi-Furnished,24 Hours Available,Ghatkopar,New Construction,East,Family,Agent,7.0,200000,Immediately Available,Garden/Park,0,47200,47200,1,0
539,1.0,1,620.0,500.0,Furnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Bachelors,Owner,2.0,150000,Immediately Available,Garden/Park,0,0,33000,0,0
540,2.0,2,1150.0,725.0,Unfurnished,24 Hours Available,Ghatkopar,5 to 10 years,North - East,Family,Agent,6.0,200000,Immediately Not Available,Garden/Park,0,57500,57500,1,0
541,3.0,3,1530.0,745.5711920529801,Unfurnished,24 Hours Available,Ghatkopar,10 to 15 years,South - East,Family / Bachelors ,Owner,1.0,600000,Immediately Available,Garden/Park,0,0,75000,0,0
542,1.0,1,550.0,500.0,Semi-Furnished,24 Hours Available,Ghatkopar,Above 20 years,East,Family / Bachelors ,Owner,1.0,0,Immediately Available,Garden/Park,0,0,27000,0,2
543,2.0,2,619.0,745.5711920529801,Semi-Furnished,12 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,3.0,0,Immediately Not Available,Not Mentioned,0,0,27225,0,0
544,1.0,2,500.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,1.0,0,Immediately Available,Main Road,0,0,27000,0,1
545,2.0,2,1230.0,775.0,Furnished,24 Hours Available,Ghatkopar,10 to 15 years,North - East,Bachelors,Agent,1.0,200000,Immediately Available,Main Road,0,45000,45000,0,1
546,3.0,2,1300.0,1100.0,Unfurnished,12 Hours Available,Ghatkopar,Above 20 years,East,Bachelors,Agent,2.0,200000,Immediately Not Available,Main Road,0,50000,50000,0,0
547,3.0,3,1500.0,1030.0,Unfurnished,24 Hours Available,Ghatkopar,Above 20 years,East,Family,Agent,0.0,300000,Immediately Available,Not Mentioned,0,0,75000,0,1
548,2.0,2,570.0,745.5711920529801,Furnished,12 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,1.0,0,Immediately Not Available,Not Mentioned,0,0,35000,0,0
549,2.0,2,1200.0,1020.0,Furnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Family / Bachelors ,Owner,19.0,0,Immediately Available,Garden/Park,0,0,70000,1,1
550,2.0,2,985.0,685.0,Semi-Furnished,24 Hours Available,Ghatkopar,New Construction,North - East,Family,Agent,12.0,200000,Immediately Available,Garden/Park,0,47000,47000,1,0
551,2.0,2,1150.0,735.0,Semi-Furnished,24 Hours Available,Ghatkopar,Above 20 years,East,Family,Owner,2.0,250000,Immediately Available,Garden/Park,0,0,42000,0,0
552,1.0,1,750.0,450.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Family,Owner,3.0,150000,Immediately Available,Garden/Park,0,0,27000,1,1
553,2.0,2,610.0,470.0,Unfurnished,12 Hours Available,Ghatkopar,10 to 15 years,East,Family / Bachelors ,Owner,5.0,0,Immediately Not Available,Not Mentioned,0,0,40000,0,0
554,3.0,3,1520.0,1093.0,Unfurnished,24 Hours Available,Ghatkopar,New Construction,East,Family / Bachelors ,Owner,4.0,0,Immediately Available,Not Mentioned,6000,0,63000,1,0
555,1.0,1,490.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,Above 20 years,West,Family,Owner,3.0,125000,Immediately Available,Not Mentioned,0,0,24750,0,0
556,1.0,1,600.0,410.0,Semi-Furnished,24 Hours Available,Ghatkopar,Above 20 years,Not Mentioned,Family,Owner,0.0,150000,Immediately Available,Not Mentioned,1750,0,26000,0,0
557,1.0,1,575.0,560.0,Semi-Furnished,24 Hours Available,Ghatkopar,Above 20 years,East,Family,Owner,3.0,150000,Immediately Available,Main Road,0,0,32000,0,0
558,2.0,2,950.0,720.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,West,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,45000,45000,1,0
559,3.0,3,1490.0,950.0,Semi-Furnished,24 Hours Available,Ghatkopar,5 to 10 years,North - East,Family / Bachelors ,Agent,8.0,250000,Immediately Available,Pool,0,0,59000,1,0
560,2.0,2,1200.0,800.0,Unfurnished,12 Hours Available,Ghatkopar,Less than 5 years,East,Family / Bachelors ,Agent,14.0,200000,Immediately Not Available,Garden/Park,1,0,57000,0,0
561,2.0,2,450.0,450.0,Semi-Furnished,12 Hours Available,Ghatkopar,15 to 20 years,North - East,Bachelors,Owner,3.0,100000,Immediately Not Available,Garden/Park,0,0,28000,0,0
562,2.0,2,1020.0,800.0,Unfurnished,12 Hours Available,Ghatkopar,Above 20 years,Not Mentioned,Family / Bachelors ,Owner,1.0,200000,Immediately Not Available,Not Mentioned,0,0,45000,0,0
563,1.0,1,650.0,520.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Family,Owner,4.0,0,Immediately Available,Garden/Park,0,0,26000,0,1
564,2.0,2,1000.0,627.0,Furnished,24 Hours Available,Ghatkopar,New Construction,East,Bachelors,Owner,4.0,200000,Immediately Available,Not Mentioned,8000,0,55000,1,0
565,2.0,2,1250.0,770.0,Furnished,24 Hours Available,Ghatkopar,Above 20 years,East,Family,Owner,2.0,250000,Immediately Available,Garden/Park,0,0,45000,0,0
566,3.0,3,1850.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,South,Family / Bachelors ,Owner,1.0,500000,Immediately Available,Garden/Park,0,0,105000,1,0
567,3.0,3,1500.0,1125.0,Unfurnished,12 Hours Available,Ghatkopar,15 to 20 years,East,Family / Bachelors ,Agent,2.0,500000,Immediately Not Available,Main Road,0,75000,75000,0,0
568,1.0,1,430.0,400.0,Semi-Furnished,24 Hours Available,Ghatkopar,15 to 20 years,North - West,Family / Bachelors ,Owner,3.0,0,Immediately Available,Main Road,0,0,30000,0,0
569,3.0,3,1296.0,986.0,Semi-Furnished,24 Hours Available,Ghatkopar,5 to 10 years,Not Mentioned,Family / Bachelors ,Agent,10.0,30000,Immediately Available,Garden/Park,0,90000,90000,1,0
570,2.0,2,1200.0,750.0,Semi-Furnished,24 Hours Available,Ghatkopar,10 to 15 years,East,Bachelors,Agent,7.0,250000,Immediately Available,Pool,0,55000,55000,0,1
571,1.0,2,450.0,510.0,Semi-Furnished,24 Hours Available,Ghatkopar,Above 20 years,East,Family,Owner,2.0,100000,Immediately Available,Garden/Park,0,0,32000,0,1
572,1.0,1,550.0,450.0,Semi-Furnished,12 Hours Available,Ghatkopar,Above 20 years,Not Mentioned,Family / Bachelors ,Owner,1.0,120000,Immediately Not Available,Not Mentioned,0,0,27000,0,0
573,2.0,2,1133.0,671.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - East,Family / Bachelors ,Agent,21.0,300000,Immediately Available,Garden/Park,0,50000,50000,1,0
574,3.0,2,1475.0,1342.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - West,Family,Agent,8.0,300000,Immediately Available,Garden/Park,0,72000,72000,1,0
575,3.0,3,1750.0,1225.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - East,Family,Agent,13.0,300000,Immediately Available,Garden/Park,0,80000,80000,1,0
576,3.0,3,1650.0,1120.0,Unfurnished,24 Hours Available,Ghatkopar,New Construction,North - East,Family / Bachelors ,Agent,11.0,300000,Immediately Available,Main Road,1,75000,75000,1,0
577,3.0,3,1360.0,805.0,Unfurnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Family,Agent,15.0,300000,Immediately Available,Garden/Park,0,52000,52000,2,0
578,3.0,3,2350.0,1600.0,Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - West,Family,Agent,15.0,500000,Immediately Available,Garden/Park,25000,0,110000,2,0
579,3.0,3,1980.0,1200.0,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Agent,23.0,500000,Immediately Available,Not Mentioned,0,90000,90000,1,0
580,2.0,2,1112.0,880.0,Semi-Furnished,12 Hours Available,Ghatkopar,New Construction,East,Bachelors,Agent,11.0,150000,Immediately Not Available,Pool,0,40000,40000,0,0
581,2.0,2,1300.0,750.0,Semi-Furnished,24 Hours Available,Ghatkopar,5 to 10 years,East,Family / Bachelors ,Agent,0.0,200000,Immediately Available,Main Road,0,57000,57000,1,0
582,3.0,2,1240.0,950.0,Furnished,24 Hours Available,Ghatkopar,Less than 5 years,North - East,Family / Bachelors ,Agent,14.0,250000,Immediately Available,Garden/Park,1,0,65000,1,0
583,4.0,4,2350.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,New Construction,North - East,Bachelors,Agent,12.0,0,Immediately Available,Garden/Park,0,0,120000,3,0
584,2.0,2,900.0,717.0,Unfurnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Family,Agent,10.0,300000,Immediately Available,Main Road,0,0,50000,1,0
585,2.0,2,1000.0,670.0,Unfurnished,24 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family,Agent,5.0,200000,Immediately Available,Garden/Park,6500,45000,45000,1,0
586,3.0,3,1500.0,950.0,Unfurnished,12 Hours Available,Ghatkopar,Less than 5 years,East,Bachelors,Agent,9.0,300000,Immediately Not Available,Garden/Park,0,77000,77000,0,0
587,3.0,3,1700.0,1500.0,Unfurnished,12 Hours Available,Ghatkopar,15 to 20 years,North - East,Bachelors,Agent,11.0,0,Immediately Not Available,Garden/Park,0,0,120000,0,0
588,2.0,2,975.0,650.0,Unfurnished,12 Hours Available,Ghatkopar,Less than 5 years,East,Bachelors,Agent,6.0,150000,Immediately Not Available,Garden/Park,0,0,38000,0,0
589,2.0,2,1125.0,725.0,Furnished,12 Hours Available,Ghatkopar,5 to 10 years,North - East,Family / Bachelors ,Owner,11.0,300000,Immediately Not Available,Pool,0,0,58000,0,0
590,2.0,2,1300.0,1000.0,Unfurnished,12 Hours Available,Ghatkopar,Above 20 years,Not Mentioned,Bachelors,Agent,3.0,300000,Immediately Not Available,Not Mentioned,500,45000,45000,0,0
591,2.0,2,850.0,720.0,Unfurnished,24 Hours Available,Ghatkopar,10 to 15 years,East,Family / Bachelors ,Agent,1.0,100000,Immediately Available,Garden/Park,0,0,31000,0,1
592,3.0,2,1365.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,11.0,0,Immediately Available,Pool,0,0,52000,1,0
593,2.0,2,870.0,544.0,Unfurnished,24 Hours Available,Ghatkopar,Less than 5 years,East,Bachelors,Agent,8.0,200000,Immediately Not Available,Garden/Park,0,42000,42000,1,0
594,2.0,2,644.0,560.0,Semi-Furnished,24 Hours Available,Ghatkopar,Above 20 years,South - East,Bachelors,Owner,3.0,150000,Immediately Available,Not Mentioned,0,0,30000,0,1
595,2.0,2,920.0,635.0,Furnished,12 Hours Available,Ghatkopar,Less than 5 years,North - East,Bachelors,Agent,10.0,200000,Immediately Not Available,Pool,0,55000,55000,0,0
596,2.0,2,860.0,745.5711920529801,Semi-Furnished,24 Hours Available,Ghatkopar,Less than 5 years,Not Mentioned,Family / Bachelors ,Agent,5.0,0,Immediately Available,Garden/Park,0,0,41500,1,0
597,2.0,2,660.0,600.0,Furnished,24 Hours Available,Ghatkopar,15 to 20 years,West,Family / Bachelors ,Owner,2.0,150000,Immediately Available,Not Mentioned,0,0,36000,0,0
